x, true, terminal, bsde
-1.000000000000000000e+00,5.374456755816936493e-03,1.224646799147353207e-16,2.176228910684585571e-03
-9.797979797979797789e-01,4.666545614600181580e-02,6.342391965656483943e-02,5.061114951968193054e-02
-9.595959595959595578e-01,8.940245956182479858e-02,1.265924535737493750e-01,9.866644442081451416e-02
-9.393939393939394478e-01,1.334287226200103760e-01,1.892512443604100758e-01,1.463502943515777588e-01
-9.191919191919192267e-01,1.785542219877243042e-01,2.511479871810792797e-01,1.936453282833099365e-01
-8.989898989898990056e-01,2.245601266622543335e-01,3.120334456984873439e-01,2.404069304466247559e-01
-8.787878787878787845e-01,2.712023854255676270e-01,3.716624556603275731e-01,2.864040732383728027e-01
-8.585858585858585634e-01,3.182142674922943115e-01,4.297949120891718100e-01,3.314276039600372314e-01
-8.383838383838383423e-01,3.653172850608825684e-01,4.861967361004687072e-01,3.753776848316192627e-01
-8.181818181818181213e-01,4.122269153594970703e-01,5.406408174555977775e-01,4.182866215705871582e-01
-7.979797979797980112e-01,4.586575031280517578e-01,5.929079290546404035e-01,4.602633714675903320e-01
-7.777777777777777901e-01,5.043337345123291016e-01,6.427876096865394739e-01,5.014092326164245605e-01
-7.575757575757575690e-01,5.489946007728576660e-01,6.900790114821119259e-01,5.417103767395019531e-01
-7.373737373737373479e-01,5.923973321914672852e-01,7.345917086575334265e-01,5.809892416000366211e-01
-7.171717171717171269e-01,6.343226432800292969e-01,7.761464642917570433e-01,6.189266443252563477e-01
-6.969696969696970168e-01,6.745736598968505859e-01,8.145759520503357276e-01,6.551812291145324707e-01
-6.767676767676766847e-01,7.129787206649780273e-01,8.497254299495146102e-01,6.895251870155334473e-01
-6.565656565656565746e-01,7.493867874145507812e-01,8.814533634475820723e-01,7.219094038009643555e-01
-6.363636363636363535e-01,7.836668491363525391e-01,9.096319953545184411e-01,7.524744868278503418e-01
-6.161616161616161325e-01,8.157037496566772461e-01,9.341478602651067664e-01,7.814946770668029785e-01
-5.959595959595959114e-01,8.453938961029052734e-01,9.549022414440739848e-01,8.093042969703674316e-01
-5.757575757575756903e-01,8.726421594619750977e-01,9.718115683235417634e-01,8.362422585487365723e-01
-5.555555555555555802e-01,8.973560333251953125e-01,9.848077530122080203e-01,8.625889420509338379e-01
-5.353535353535352481e-01,9.194428920745849609e-01,9.938384644612542340e-01,8.885148167610168457e-01
-5.151515151515151381e-01,9.388060569763183594e-01,9.988673391830079629e-01,9.140237569808959961e-01
-4.949494949494949170e-01,9.553400874137878418e-01,9.998741276738750683e-01,9.389044046401977539e-01
-4.747474747474746959e-01,9.689280986785888672e-01,9.968547759519422735e-01,9.627023935317993164e-01
-4.545454545454544748e-01,9.794387817382812500e-01,9.898214418809326842e-01,9.847432374954223633e-01
-4.343434343434342537e-01,9.867225885391235352e-01,9.788024462147786320e-01,1.004189848899841309e+00
-4.141414141414141437e-01,9.906090497970581055e-01,9.638421585599420416e-01,1.020140886306762695e+00
-3.939393939393939226e-01,9.909054040908813477e-01,9.450008187146684557e-01,1.031718373298645020e+00
-3.737373737373737015e-01,9.873937964439392090e-01,9.223542941045813626e-01,1.038103103637695312e+00
-3.535353535353534804e-01,9.798305630683898926e-01,8.959937742913358649e-01,1.038509726524353027e+00
-3.333333333333332593e-01,9.679484367370605469e-01,8.660254037844384856e-01,1.032094001770019531e+00
-3.131313131313130382e-01,9.514563083648681641e-01,8.325698546347711781e-01,1.017838358879089355e+00
-2.929292929292928171e-01,9.300465583801269531e-01,7.957618405308318765e-01,9.945327043533325195e-01
-2.727272727272727071e-01,9.034033417701721191e-01,7.557495743542582689e-01,9.610789418220520020e-01
-2.525252525252524860e-01,8.712132573127746582e-01,7.126941713788628174e-01,9.173471927642822266e-01
-2.323232323232322649e-01,8.331864476203918457e-01,6.667690005162915101e-01,8.650852441787719727e-01
-2.121212121212120438e-01,7.890753149986267090e-01,6.181589862206050556e-01,8.072172999382019043e-01
-1.919191919191918227e-01,7.387037277221679688e-01,5.670598638627704080e-01,7.454358935356140137e-01
-1.717171717171716017e-01,6.819981336593627930e-01,5.136773915734060836e-01,6.793306469917297363e-01
-1.515151515151514916e-01,6.190150976181030273e-01,4.582265217274102964e-01,6.081629395484924316e-01
-1.313131313131312705e-01,5.499691963195800781e-01,4.009305354066135529e-01,5.328810811042785645e-01
-1.111111111111110494e-01,4.752493798732757568e-01,3.420201433256685464e-01,4.560087621212005615e-01
-9.090909090909082835e-02,3.954244256019592285e-01,2.817325568414294490e-01,3.781229853630065918e-01
